PhraseID,current_phrase,current_audio_key,matched_audio_file,match_type
240,"Tio estis la plej malgranda afero, kiun mi povis fari",0085_tio_estis_la_plej_malgranda_afero_kiun_mi_povis_fari,0085_tio_estis_la_plej_malmulto_kion_mi_povis_fari.wav,prefix
286,"Mi timas, ke mi ne povas resti pli longe",0131_mi_timas_ke_mi_ne_povas_resti_pli_longe,0131_mi_timas_ke_mi_ne_povas_resti_plu_longe.wav,prefix
922,Li loĝas en la Unuiĝintaj Arabaj Emirlandoj,0767_li_logxas_en_la_unuigxintaj_arabaj_emirlandoj,0767_li_logxas_en_unuigxintaj_arabaj_emirlandoj.wav,prefix
936,Kio estas via nacieco?,0781_kio_estas_via_nacieco,0781_kia_estas_via_nacieco.wav,prefix
990,Ĉu vi estas edziniĝinta?,0835_cxu_vi_estas_edzinigxinta,0835_cxu_vi_edzinigxis.wav,prefix
992,Li estas eksedziĝinta,0837_li_estas_eksedzigxinta,0837_li_estas_divorcigxinta.wav,prefix
1479,Kvaroble tri estas dek du,1324_kvaroble_tri_estas_dek_du,1324_kvarfoje_tri_estas_dek_du.wav,prefix
1528,Dumiloble kvin estas dek mil,1373_dumiloble_kvin_estas_dek_mil,1373_du_mil_foje_kvin_estas_dek_mil.wav,prefix
1718,Ĉu mi devos labori laŭ deĵoroj?,1563_cxu_mi_devos_labori_laux_dejxoroj,1563_cxu_mi_devos_labori_lauxvice.wav,prefix
1726,Ĉu mi povus ricevi kandidatiĝan formularon?,1571_cxu_mi_povus_ricevi_kandidatigxan_formularon,1571_cxu_mi_povus_ricevi_aligxilon.wav,prefix
1809,Kiom da tempo necesas por alveni tien?,1654_kiom_da_tempo_necesas_por_alveni_tien,1654_kiom_da_tempo_necesas_por_atingi_tien.wav,prefix
2000,Kie mi suriru la aviadilon?,1845_kie_mi_suriru_la_aviadilon,1845_kie_mi_suriru.wav,prefix
2073,"La sekva, mi petas!",1918_la_sekva_mi_petas,1918_la_sekva_bonvolu.wav,prefix
2106,"Vian doganan deklaracion, mi petas",1951_vian_doganan_deklaracion_mi_petas,1951_vian_doganan_deklaracion_bonvolu.wav,prefix
2242,Turniĝu dekstren,2087_turnigxu_dekstren,2087_turnu_dekstren.wav,prefix
2249,Kie mi turniĝu?,2094_kie_mi_turnigxu,2094_kie_mi_turnu.wav,prefix
2250,Turniĝu dekstren ĉe la kruciĝo,2095_turnigxu_dekstren_cxe_la_krucigxo,2095_turnu_dekstren_cxe_la_krucigxo.wav,prefix
2267,Turniĝu dekstren ĉe la T-kruciĝo,2112_turnigxu_dekstren_cxe_la_t_krucigxo,2112_turnu_dekstren_cxe_la_t_krucigxo.wav,prefix
2282,Turniĝu maldekstren ĉe la unua turniĝo,2127_turnigxu_maldekstren_cxe_la_unua_turnigxo,2127_turnu_maldekstren_cxe_la_unua_turnigxo.wav,prefix
2284,Turniĝu dekstren ĉe la dua turniĝo,2129_turnigxu_dekstren_cxe_la_dua_turnigxo,2129_turnu_dekstren_cxe_la_dua_turnigxo.wav,prefix
2295,Vi lasis viajn lumojn ŝaltitaj,2140_vi_lasis_viajn_lumojn_sxaltitaj,2140_vi_lasis_viajn_lumojn_sxaltitajn.wav,prefix
2312,"Por 25 frankoj, mi petas",2157_por_25_frankoj_mi_petas,2157_por_25_frankoj_bonvolu.wav,prefix
2377,Ne stiru ebria,2222_ne_stiru_ebria,2222_ne_trinku_kaj_veturu.wav,prefix
2466,Ne ĝenas min vojaĝi per trajno ĉiutage,2311_ne_gxenas_min_vojagxi_per_trajno_cxiutage,2311_mi_ne_kontrauxas_vojagxi_per_trajno_cxiutage.wav,prefix
2750,"La ŝlosilon de ĉambro numero 621, mi petas!",2595_la_sxlosilon_de_cxambro_numero_621_mi_petas,2595_la_sxlosilon_de_cxambro_numero_621_bonvolu.wav,prefix
2909,"Sekvu min, mi petas",2754_sekvu_min_mi_petas,2754_sekvu_min_bonvolu.wav,prefix
2910,"Infanan seĝeton, mi petas",2755_infanan_segxeton_mi_petas,2755_infanan_segxeton_bonvolu.wav,prefix
2978,"Mi ŝatus koktelon, mi petas",2823_mi_sxatus_koktelon_mi_petas,2823_mi_sxatus_koktelon_bonvolu.wav,prefix
2980,"Mi prenos la samon, mi petas",2825_mi_prenos_la_samon_mi_petas,2825_mi_prenos_la_samon_bonvolu.wav,prefix
2986,"Ĉu mi povus vidi la vinkarton, mi petas?",2831_cxu_mi_povus_vidi_la_vinkarton_mi_petas,2831_cxu_mi_povus_vidi_la_vinkarton_bonvole.wav,prefix
3030,"Ankoraŭ iomete, mi petas",2875_ankoraux_iomete_mi_petas,2875_ankoraux_iomete_bonvolu.wav,prefix
3040,"Pardonu, ni ŝatus mendi, mi petas",2885_pardonu_ni_sxatus_mendi_mi_petas,2885_pardonu_ni_sxatus_mendi_bonvolu.wav,prefix
3091,"Ni ŝatus mendi deserton, mi petas",2936_ni_sxatus_mendi_deserton_mi_petas,2936_ni_sxatus_mendi_deserton_bonvolu.wav,prefix
3105,"Ĉu ni povus pagi, mi petas?",2950_cxu_ni_povus_pagi_mi_petas,2950_cxu_ni_povus_pagi_bonvole.wav,prefix
3202,"Tri glasetojn da tekilo, mi petas",3047_tri_glasetojn_da_tekilo_mi_petas,3047_tri_glasetojn_da_tekilo_bonvolu.wav,prefix
3243,"Mi prenos la kokidan supon, mi petas",3088_mi_prenos_la_kokidan_supon_mi_petas,3088_mi_prenos_la_kokidan_supon_bonvolu.wav,prefix
3249,"Ni prenos kokidajn flugilojn, mi petas",3094_ni_prenos_kokidajn_flugilojn_mi_petas,3094_ni_prenos_kokidajn_flugilojn_bonvolu.wav,prefix
3311,"Mi prenos tomatsupon, mi petas",3156_mi_prenos_tomatsupon_mi_petas,3156_mi_prenos_tomatsupon_bonvolu.wav,prefix
3366,"Hejmfaritan panon, mi petas",3211_hejmfaritan_panon_mi_petas,3211_hejmfaritan_panon_bonvolu.wav,prefix
3553,"Akvorezistan ŝminkon por okulharoj, mi petas",3398_akvorezistan_sxminkon_por_okulharoj_mi_petas,3398_akvorezistan_sxminkon_por_okulharoj_bonvolu.wav,prefix
3582,"Ĉu estas io speciala, kion vi ŝatus vidi?",3427_cxu_estas_io_speciala_kion_vi_sxatus_vidi,3427_cxu_estas_io_speciala_kiun_vi_sxatus_vidi.wav,prefix
4384,"Rekte malantaŭe, mi petas",4229_rekte_malantauxe_mi_petas,4229_rekte_malantauxe_bonvolu.wav,prefix
4481,"Ĉu vi scias, kie mi povas riparigi mian fotoaparaton?",4326_cxu_vi_scias_kie_mi_povas_riparigi_mian_fotoaparaton,4326_cxu_vi_scias_kie_mi_povas_lasi_ripari_mian_fotoaparaton.wav,prefix
4682,"Iom pli larĝe, mi petas",4527_iom_pli_largxe_mi_petas,4527_iom_pli_largxe_bonvolu.wav,prefix
4691,"Mi ŝatus dentpurigadon, mi petas",4536_mi_sxatus_dentpurigadon_mi_petas,4536_mi_sxatus_dentpurigadon_bonvolu.wav,prefix
4762,Mi ŝatus paketon da aspirino,4607_mi_sxatus_paketon_da_aspirino,4607_mi_sxatus_pakajxon_da_aspirino.wav,prefix
4768,"Mi ŝatus paroli kun la farmaciisto, mi petas",4613_mi_sxatus_paroli_kun_la_farmaciisto_mi_petas,4613_mi_sxatus_paroli_kun_la_farmaciisto_bonvolu.wav,prefix
4880,"Plilaŭtigu, mi petas",4725_plilauxtigu_mi_petas,4725_plilauxtigu_bonvolu.wav,prefix
4881,"Mallaŭtigu, mi petas",4726_mallauxtigu_mi_petas,4726_mallauxtigu_bonvolu.wav,prefix
4918,"Mi ŝatus vatitan koverton, mi petas",4763_mi_sxatus_vatitan_koverton_mi_petas,4763_mi_sxatus_vatitan_koverton_bonvolu.wav,prefix
4962,Kiu giĉeto estas por poŝtrestantaj sendaĵoj?,4807_kiu_gicxeto_estas_por_posxtrestantaj_sendajxoj,4807_cxe_kiu_gicxeto_estas_posxtrestante.wav,prefix
